Tasks: 562 total,   1 running, 561 sleeping,   0 stopped,   0 zombie
  Mem:  3741312K total,  3586716K used,   154596K free,     6824K buffers
 Swap:  2097148K total,   400384K used,  1696764K free,  1534800K cached
800%cpu  21%user   0%nice  28%sys 748%idle   0%iow   3%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
22646 shell        20   0  12G 4.8M 3.8M R 13.7   0.1   0:00.06 top -b -n 1
21983 u0_a137      16  -4  17G 276M 146M S 13.7   7.5   1:27.73 com.example.metacam.debug
16096 root         20   0    0    0    0 I  0.0   0.0   0:01.36 [kworker/3:1-events_power_efficient]
15794 root          0 -20    0    0    0 I  0.0   0.0   0:09.44 [kworker/u17:2-AR_RPC_RX_WORK_QUEUE]
14334 root         20   0    0    0    0 I  0.0   0.0   0:54.51 [kworker/u16:3-memlat_wq]
12911 root         20   0    0    0    0 I  0.0   0.0   0:02.38 [kworker/1:0-mm_percpu_wq]
 6767 system       20   0  16G  93M  49M S  0.0   2.5   0:00.12 com.android.keychain
 6750 shell        20   0  12G 4.3M 3.6M S  0.0   0.1   0:00.03 abb
 6295 u0_a22       20   0  16G 100M  58M S  0.0   2.7   0:04.47 android.process.media
 6290 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [usb_bam_wq]
 6289 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/99-arm-smmu]
 4767 u0_a60       20   0  15G  87M  43M S  0.0   2.3   0:00.15 com.qualcomm.qti.qms.service.trustzoneaccess
 4716 u0_a61       20   0  15G  86M  40M S  0.0   2.3   0:00.10 com.qualcomm.timeservice
 4628 system       20   0  15G  88M  42M S  0.0   2.3   0:00.14 com.qualcomm.qti.logkit.lite
 4549 system       20   0  15G  93M  51M S  0.0   2.5   0:00.32 com.android.upgrade
 4526 u0_a30       20   0  16G  97M  50M S  0.0   2.6   0:00.33 com.android.statementservice
 4481 u0_a87       20   0  16G  96M  54M S  0.0   2.6   0:00.33 com.android.remoteprovisioner
 4457 u0_a28       20   0  16G  92M  48M S  0.0   2.5   0:00.19 com.android.providers.calendar
 4437 u0_a130      20   0  16G 102M  60M S  0.0   2.7   0:00.75 com.android.permissioncontroller
 4304 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [SOCKET_TX_WORK_]
 4289 system       20   0  12G 3.2M 2.3M S  0.0   0.0   0:12.98 tuntap_bb -p 3 -c -n ar_net0 -m 00:4a:3b:6d:c4:a1 -s 0 -t 41304 -r 62608 -D
 4284 system       20   0  13G 5.3M 2.5M S  0.0   0.1  21:00.26 data_stream -l 0 -p 2 -b -1
 4085 u0_a97       20   0  16G 107M  65M S  0.0   2.9   0:00.34 org.codeaurora.dialer
 4025 system       20   0  13G 4.3M 2.4M S  0.0   0.1   4:35.27 daemon -i 3
 3892 u0_a38       20   0  16G 158M  94M S  0.0   4.3   0:05.89 com.google.android.inputmethod.pinyin
 3676 system       20   0  16G  92M  47M S  0.0   2.5   6:09.90 com.skydroid.rcservice
 3635 u0_a57       20   0  15G  90M  45M S  0.0   2.4   0:03.65 com.ms.msdisplay
 3610 u0_a132      20   0  16G 115M  66M S  0.0   3.1   0:30.57 com.android.providers.media.module
 3600 u0_a88       20   0  15G  90M  46M S  0.0   2.4   0:00.14 com.qualcomm.location.XT
 3585 system       20   0  15G  89M  45M S  0.0   2.4   0:00.13 com.qualcomm.qti.services.secureui:sui_service
 3544 u0_a104      20   0  15G  93M  49M S  0.0   2.5   0:00.28 com.qualcomm.location
 3537 system       20   0  15G  96M  57M S  0.0   2.6   0:00.30 com.meig.logger
 3503 u0_a109      20   0  15G  97M  51M S  0.0   2.6   0:00.54 com.qualcomm.qti.workloadclassifier
 3477 u0_a98       20   0  16G  87M  44M S  0.0   2.3   0:00.12 com.qualcomm.qti.services.systemhelper:systemhelper_service
 3472 nfc          20   0  15G  90M  46M S  0.0   2.4   0:00.15 com.android.nfc
 3423 u0_a91       20   0  15G  84M  40M S  0.0   2.3   0:00.12 com.qualcomm.qti.server.qtiwifi
 3420 system       20   0  15G  88M  44M S  0.0   2.4   0:03.93 com.skydroid.rc_daemon
 3300 root          0 -20  13G 4.1M 4.1M S  0.0   0.1   0:00.22 thermal-engine-v2
 3297 system       20   0  12G 3.6M 3.6M S  0.0   0.0   0:00.01 qspmsvc
 3252 u0_a78       20   0  16G 100M  58M S  0.0   2.7   0:00.47 com.android.deskclock
 3178 u0_a24       20   0  16G 102M  58M S  0.0   2.7   0:00.56 android.process.acore
 3086 u0_a114      20   0  15G  89M  46M S  0.0   2.4   0:00.14 com.qualcomm.qtil.btdsda
 2996 u0_a108      20   0  15G  85M  41M S  0.0   2.3   0:00.10 com.android.smspush
 2889 u0_a105      20   0  16G 170M 109M S  0.0   4.6   0:11.18 com.android.launcher3
 2810 u0_a133      20   0  15G  99M  52M S  0.0   2.7   0:02.60 android.ext.services
 2790 webview_zygote 20 0 1.1G  69M  34M S  0.0   1.8   0:00.08 webview_zygote
 2739 system       20   0  16G 164M 125M S  0.0   4.4   0:09.06 com.android.settings
 2722 u0_a113      20   0  15G  98M  54M S  0.0   2.6   0:00.30 com.qti.qcc
 2712 radio        20   0  16G 134M  84M S  0.0   3.6   0:07.61 com.android.phone
 2692 u0_a118      20   0  15G  90M  46M S  0.0   2.4   0:10.20 com.qualcomm.qti.devicestatisticsservice
 2680 secure_element 20 0  15G  87M  43M S  0.0   2.3   0:00.14 com.android.se
 2663 u0_a115      20   0  15G  85M  41M S  0.0   2.3   0:00.14 com.qti.qualcomm.mstatssystemservice
 2643 u0_a102      20   0  16G 101M  57M S  0.0   2.7   0:08.46 org.codeaurora.ims
 2618 system       20   0  15G  87M  44M S  0.0   2.3   0:00.12 vendor.qti.qesdk.sysservice
 2608 u0_a103      20   0  15G  96M  51M S  0.0   2.6   0:00.26 com.qualcomm.qtil.aptxals
 2599 u0_a110      20   0  15G  88M  44M S  0.0   2.4   0:00.16 com.qualcomm.qtil.aptxacu
 2570 u0_a59       20   0  15G  90M  46M S  0.0   2.4   0:00.17 .qms
 2560 u0_a80       20   0  15G  90M  46M S  0.0   2.4   0:00.19 com.qti.phone
 2551 u0_a58       20   0  16G  99M  53M S  0.0   2.6   0:00.62 .qtidataservices
 2538 radio        20   0  16G  93M  49M S  0.0   2.5   0:00.46 .dataservices
 2516 bluetooth    20   0  16G 126M  79M S  0.0   3.4   0:07.50 com.android.bluetooth
 2509 network_stack 20  0  16G 105M  60M S  0.0   2.8   0:38.69 com.android.networkstack.process
 2409 u0_a107      20   0  17G 253M 168M S  0.0   6.9   3:39.30 com.android.systemui
 2400 wifi         20   0  12G  10M 9.2M S  0.0   0.2   0:00.90 wpa_supplicant -O/data/vendor/wifi/wpa/sockets -puse_p2p_group_interface=1 -dd -g@android:wpa_wlan0
 2262 root         19  -1    0    0    0 S  0.0   0.0  10:17.94 [cds_ol_rx_threa]
 2261 root         18  -2    0    0    0 S  0.0   0.0   0:07.25 [scheduler_threa]
 2221 radio        20   0  12G 8.4M 8.4M S  0.0   0.2   0:00.02 ims_rtp_daemon
 2166 system       18  -2  20G 416M 301M S  0.0  11.3   8:00.02 system_server
 2160 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dsi_err_workq]
 2141 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [wda_wq]
 2140 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dfc_wq]
 2038 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipafreepagewq35]
 2037 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [iparepwq35]
 2035 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipawq35]
 2034 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [iparepwq34]
 2033 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipawq34]
 1872 root         20   0    0    0    0 S  0.0   0.0   0:00.01 [qrtr_rx]
 1871 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/229-glink-n]
 1774 shell        20   0  13G  17M 5.1M S  0.0   0.4   0:08.69 adbd --root_seclabel=u:r:su:s0
 1750 radio        20   0  12G 3.6M 3.6M S  0.0   0.1   0:00.02 adpl
 1748 root         20   0  12G 3.5M 3.3M S  0.0   0.0   0:34.73 msm_irqbalance -f /system/vendor/etc/msm_irqbalance.conf
 1744 radio        20   0  12G 3.7M 3.7M S  0.0   0.1   0:00.02 qti
 1681 system       20   0  12G 4.6M 4.5M S  0.0   0.1   0:00.08 tloc_daemon
 1680 system       20   0  13G 8.1M 8.1M S  0.0   0.2   0:00.03 qcc-trd
 1679 system       20   0  13G 8.2M 8.2M S  0.0   0.2   0:00.04 qcc-vendor
 1669 root         20   0  12G 8.2M 8.2M S  0.0   0.2   0:00.11 update_engine --logtostderr --logtofile --foreground
 1659 system       20   0  12G 5.0M 5.0M S  0.0   0.1   0:00.02 gatekeeperd /data/misc/gatekeeper
 1651 gps          20   0  13G  13M  13M S  0.0   0.3   0:00.07 xtra-daemon
 1650 gps          20   0  12G 5.6M 4.6M S  0.0   0.1   0:00.09 lowi-server
 1639 system       20   0  13G 5.3M 5.3M S  0.0   0.1   0:00.03 ATFWD-daemon
 1592 gps          20   0  12G 4.0M 3.9M S  0.0   0.1   0:00.03 loc_launcher
 1589 gps          20   0  12G 4.0M 4.0M S  0.0   0.1   0:00.01 mlid
 1582 radio        20   0  12G 1.9M 1.9M S  0.0   0.0   0:00.01 ssgqmigd
 1579 system       20   0  12G 5.7M 5.5M S  0.0   0.1   0:00.42 cnss-daemon -n -l
 1557 mediacodec   20   0  13G  21M  20M S  0.0   0.5   0:02.59 media.swcodec oid.media.swcodec/bin/mediaswcodec
 1536 system       20   0  12G 4.2M 4.2M S  0.0   0.1   0:00.01 wfdvndservice
 1534 system       20   0  12G 4.3M 4.3M S  0.0   0.1   0:00.01 cdsprpcd
 1526 system       20   0  12G 4.3M 4.3M S  0.0   0.1   0:00.02 adsprpcd
 1524 system       20   0  12G 5.5M 5.5M S  0.0   0.1   0:00.02 qsap_qapeservice
 1523 radio        20   0  13G 8.5M 7.8M S  0.0   0.2   0:00.42 qms
 1521 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/228-swr_wak]
 1519 radio        20   0  12G 3.6M 3.6M S  0.0   0.0   0:00.01 port-bridge
 1515 radio        20   0  14G  10M  10M S  0.0   0.2   0:00.73 netmgrd
 1512 radio        20   0  12G 7.1M 7.1M S  0.0   0.1   0:15.87 ipacm
 1511 radio        20   0  12G 3.3M 3.3M S  0.0   0.0   0:03.64 ipacm-diag
 1499 radio        20   0  13G  14M  14M S  0.0   0.3   0:00.22 imsdaemon
 1494 system       20   0  13G 9.3M 9.3M S  0.0   0.2   0:00.04 wifidisplayhalservice
 1491 system       20   0  13G  15M  15M S  0.0   0.4   0:00.24 cnd
 1490 mediacodec   20   0  36M 8.0M 7.9M S  0.0   0.2   0:00.09 media.codec hw/android.hardware.media.omx@1.0-service
 1487 system       20   0  12G 6.9M 6.7M S  0.0   0.1   0:00.03 wfdhdcphalservice
 1484 system       20   0  12G 6.7M 6.5M S  0.0   0.1   0:00.08 perfservice
 1482 wifi         20   0  12G 6.3M 5.8M S  0.0   0.1   0:12.45 wificond
 1479 root         RT   0    0    0    0 S  0.0   0.0   0:00.47 [irq/216-swr_mas]
 1478 root         30  10  12G 6.4M 4.9M S  0.0   0.1   0:23.71 storaged
 1477 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/215-swr_mas]
 1476 media        20   0  84M  23M  21M S  0.0   0.6   0:04.44 mediaserver
 1469 media        20   0  12G 7.8M 6.4M S  0.0   0.2   0:00.24 media.metrics diametrics
 1457 mediaex      20   0  13G  28M  26M S  0.0   0.7   0:00.56 media.extractor aextractor
 1455 root         20   0  12G 5.8M 5.1M S  0.0   0.1   0:00.52 installd
 1451 incidentd    20   0  12G 4.1M 4.1M S  0.0   0.1   0:00.01 incidentd
 1447 cameraserver 20   0  13G  26M  25M S  0.0   0.7   0:00.86 cameraserver
 1446 system       20   0  12G 7.3M 5.6M S  0.0   0.2  13:00.94 cnss_diag -q -f -t HELIUM
 1438 system       20   0  13G  10M 6.9M S  0.0   0.2   0:02.68 vendor.dpmd
 1436 radio        20   0  14G  36M  36M S  0.0   0.9   0:02.38 qcrilNrd
 1430 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/98-arm-smmu]
 1394 system       20   0  13G 5.2M 5.2M S  0.0   0.1   0:00.01 dpmQmiMgr
 1391 system       20   0  12G 4.4M 4.3M S  0.0   0.1   0:00.01 tcmd
 1387 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [glink_modem]
 1381 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [pdr_notifier_wq]
 1376 nobody       20   0  12G 6.0M 4.3M S  0.0   0.1   0:00.82 traced
 1373 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [qrtr_rx]
 1372 nobody       20   0  12G 8.2M 6.5M S  0.0   0.2   0:03.30 traced_probes
 1371 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/214-glink-n]
 1369 drm          20   0  28M 6.2M 6.1M S  0.0   0.1   0:00.07 drmserver
 1367 system       20   0  12G 3.7M 3.7M S  0.0   0.1   0:00.01 pm-proxy
 1236 system       20   0  12G 4.6M 4.6M S  0.0   0.1   0:00.01 sensors.qti
 1233 vendor_rfs   20   0  12G 2.9M 2.9M S  0.0   0.0   0:00.21 tftp_server
 1229 nobody       20   0  12G 3.4M 3.3M S  0.0   0.0   0:00.08 rmt_storage
 1218 gpu_service  20   0  12G 6.5M 6.2M S  0.0   0.1   0:00.04 gpuservice
 1208 credstore    20   0  12G 6.4M 6.4M S  0.0   0.1   0:00.01 credstore /data/misc/credstore
 1199 audioserver  20   0  13G  36M  31M S  0.0   0.9   0:07.17 audioserver
 1196 system       20   0  12G 3.6M 3.6M S  0.0   0.1   0:00.39 pm-service
 1191 system       20   0  12G 3.4M 3.4M S  0.0   0.0   0:00.05 pd-mapper
 1188 vendor_qrtr  20   0  12G 2.4M 2.4M S  0.0   0.0   0:00.00 qrtr-ns -f
 1185 root         20   0  12G 2.4M 2.4M S  0.0   0.0   0:00.01 sh
 1183 system       20   0  12G 5.3M 5.3M S  0.0   0.1   0:00.01 vendor.qti.secure_element@1.2-service
 1181 system       20   0  12G 4.7M 4.5M S  0.0   0.1   0:00.04 vendor.qti.qspmhal@1.0-service
 1174 system       20   0  12G 5.4M 5.4M S  0.0   0.1   0:00.02 vendor.qti.memory.pasrmanager@1.0-service
 1172 mediacodec   20   0  13G  14M  14M S  0.0   0.3   0:00.11 media.audio.qc.codec .qti.media.c2audio@1.0-service
 1170 mediacodec   20   0  13G  38M  33M S  0.0   1.0   0:00.43 media.hwcodec /vendor.qti.media.c2@1.0-service
 1163 system       20   0  12G 4.4M 4.2M S  0.0   0.1   0:00.17 vendor.qti.hardware.vibrator.service
 1162 system       20   0  12G 4.1M 4.1M S  0.0   0.1   0:00.00 vendor.qti.hardware.tui_comm@1.0-service-qti
 1161 system       20   0  12G 7.2M 7.2M S  0.0   0.1   0:00.02 vendor.qti.hardware.trustedui@1.0-service-qti
 1160 system       20   0  12G 4.9M 4.9M S  0.0   0.1   0:00.05 vendor.qti.hardware.soter@1.0-service
 1152 system       20   0  12G 4.5M 4.3M S  0.0   0.1   0:00.64 vendor.qti.hardware.servicetracker@1.2-service
 1151 system       20   0  12G 5.2M 5.2M S  0.0   0.1   0:00.01 vendor.qti.hardware.sensorscalibrate@1.0-service
 1149 system       20   0  12G 5.5M 5.5M S  0.0   0.1   0:00.02 vendor.qti.hardware.secureprocessor@1.0
 1143 root         20   0  13G  16M  14M S  0.0   0.4   0:17.26 vendor.qti.hardware.perf-hal-service
 1142 root         20   0  12G 4.3M 4.3M S  0.0   0.1   0:00.01 vendor.qti.hardware.limits@1.2-service
 1141 root          0 -20    0    0    0 I  0.0   0.0   0:13.25 [kworker/7:2H-kblockd]
 1140 system       20   0  12G 4.3M 4.1M S  0.0   0.1   0:00.02 vendor.qti.hardware.lights.service
 1139 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [qrtr_rx]
 1135 root         20   0  12G 6.8M 6.8M S  0.0   0.1   0:00.02 vendor.qti.hardware.iop@2.0-service
 1133 system       20   0  12G 4.0M 4.0M S  0.0   0.1   0:00.01 dspservice
 1132 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/213-glink-n]
 1128 system       20   0  12G 7.3M 7.0M S  0.0   0.2   0:05.88 vendor.qti.hardware.display.allocator-service
 1127 system       20   0  13G 4.0M 4.0M S  0.0   0.1   0:00.01 vendor.qti.hardware.capabilityconfigstore@1.0-service
 1124 system       20   0  12G 6.0M 6.0M S  0.0   0.1   0:00.02 vendor.display.color@1.0-service
 1122 system       20   0  12G 4.9M 4.9M S  0.0   0.1   0:00.01 qfp-daemon
 1120 nobody       20   0  12G 4.1M 3.9M S  0.0   0.1   0:01.02 vendor.qti.hardware.memtrack-service
 1119 wifi         20   0  12G 9.4M 8.7M S  0.0   0.2   2:50.59 android.hardware.wifi@1.0-service
 1117 root         20   0  12G 4.4M 4.2M S  0.0   0.1   0:09.41 android.hardware.usb@1.2-service-qti
 1116 root         20   0  12G 4.4M 4.0M S  0.0   0.1   0:01.67 android.hardware.usb.gadget@1.1-service-qti
 1114 root         20   0  12G 4.1M 4.1M S  0.0   0.1   0:00.03 android.hardware.thermal@2.0-service.qti-v2
 1110 system       20   0  12G 7.8M 7.8M S  0.0   0.2   0:00.03 android.hardware.sensors@2.1-service.multihal
 1108 system       20   0  12G 5.3M 5.3M S  0.0   0.1   0:00.02 android.hardware.power-service
 1106 system       20   0  12G 6.2M 6.2M S  0.0   0.1   0:00.06 android.hardware.identity-service-qti
 1104 system       20   0  12G 5.4M 5.1M S  0.0   0.1   1:43.09 android.hardware.health-service.qti
 1101 gps          20   0  13G  15M  14M S  0.0   0.4   0:06.26 android.hardware.gnss-aidl-service-qti
 1097 media        20   0  12G 5.7M 5.5M S  0.0   0.1   0:00.02 android.hardware.drm-service.clearkey
 1096 media        20   0  22M 3.9M 3.9M S  0.0   0.1   0:00.02 android.hardware.cas@1.2-service
 1091 cameraserver 20   0  13G  24M  22M S  0.0   0.6   0:00.78 android.hardware.camera.provider@2.4-service_64
 1086 bluetooth    20   0  13G 5.8M 5.7M S  0.0   0.1   0:06.86 android.hardware.bluetooth@1.0-service-qti
 1085 audioserver  20   0  13G  23M  20M S  0.0   0.6   0:15.01 android.hardware.audio.service_64
 1084 system       20   0  12G 6.3M 6.0M S  0.0   0.1   0:00.02 qccsyshal@1.2-service
 1082 system       20   0  12G 3.6M 3.4M S  0.0   0.1   0:00.02 android.hidl.allocator@1.0-service
 1076 system       20   0  12G 4.6M 4.3M S  0.0   0.1   0:13.82 diag-router
 1075 system       20   0  13G  10M  10M S  0.0   0.2   0:00.34 ssgtzd
 1070 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [glink_cdsp]
 1069 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [glink_adsp]
 1034 root         20   0  12G 2.9M 2.5M S  0.0   0.0   0:02.54 ip6tables-restore --noflush -w -v
 1033 root         20   0  12G 2.9M 2.6M S  0.0   0.0   0:02.92 iptables-restore --noflush -w -v
 1024 root         20   0 1.2G 161M 127M S  0.0   4.4   0:02.50 zygote
 1023 root         20   0  15G 188M 143M S  0.0   5.1   0:03.85 zygote64
 1022 root         20   0  13G  10M 9.0M S  0.0   0.2   0:17.45 netd
 1021 statsd       20   0  12G 4.5M 4.1M S  0.0   0.1   0:31.09 statsd
 1016 root         RT   0    0    0    0 S  0.0   0.0   0:14.67 [irq/212-fts_ts]
  993 system       20   0  12G 3.4M 3.3M S  0.0   0.0   0:00.02 time_daemon
  992 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fts_wq]
  954 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qdss_sw]
  953 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qdss_mdm]
  952 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qdss]
  951 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [at_usb2]
  950 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [at_usb1]
  949 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [at_usb0]
  931 tombstoned   20   0  12G 1.9M 1.9M S  0.0   0.0   0:00.00 tombstoned
  926 root         20   0    0    0    0 S  0.0   0.0   0:00.02 [f2fs_gc-254:14]
  925 root         20   0    0    0    0 S  0.0   0.0   0:00.57 [f2fs_discard-25]
  924 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [f2fs_flush-254:]
  923 root         20   0    0    0    0 S  0.0   0.0   0:00.85 [f2fs_ckpt-254:1]
  903 system       20   0  12G 4.4M 4.4M S  0.0   0.1   0:00.00 vendor.qti.hardware.qteeconnector@1.0-service
  900 system       20   0  12G 5.9M 5.9M S  0.0   0.1   0:00.01 vendor.qti.esepowermanager@1.1-service
  899 nfc          20   0  12G 6.5M 6.5M S  0.0   0.1   0:00.01 vendor.nxp.hardware.nfc@2.0-service
  898 system       20   0  12G 4.9M 4.9M S  0.0   0.1   0:00.01 android.hardware.gatekeeper@1.0-service-qti
  897 root         20   0  12G 4.2M 4.2M S  0.0   0.1   0:00.01 android.hardware.boot@1.2-service
  895 system       20   0  12G 4.3M 4.0M S  0.0   0.1   0:00.01 android.hardware.atrace@1.0-service
  894 keystore     20   0  12G  12M  11M S  0.0   0.3   0:00.08 keystore2 /data/misc/keystore
  892 system       20   0  13G 4.7M 4.1M S  0.0   0.1   0:02.55 android.system.suspend@1.0-service
  887 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [clnt_req]
  886 root         20   0    0    0    0 S  0.0   0.0   0:10.85 [wlan_logging_th]
  885 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [cds_recovery_wo]
  884 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [iparepwq32]
  883 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipawq32]
  882 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipafreepagewq33]
  881 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [iparepwq33]
  880 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipawq33]
  879 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [iparepwq36]
  878 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipawq36]
  877 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipa_interrupt_w]
  869 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  868 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [jbd2/mmcblk0p86]
  856 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  852 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  851 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [jbd2/mmcblk0p38]
  846 root          0 -20    0    0    0 I  0.0   0.0   0:13.67 [kworker/6:2H-kblockd]
  845 root          0 -20    0    0    0 I  0.0   0.0   0:13.43 [kworker/5:2H-kblockd]
  841 root         -2   0    0    0    0 S  0.0   0.0   0:00.27 [psimon]
  816 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [card0-crtc0]
